         66610 function calls (66574 primitive calls) in 0.161 seconds

   Ordered by: internal time
   List reduced from 423 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.057    0.011    0.065    0.013 /Users/lisihao/ThunderOMLX/src/omlx/scheduler.py:326(_process_prompts)
        5    0.051    0.010    0.148    0.030 /opt/homebrew/lib/python3.14/site-packages/mlx_lm/generate.py:1234(_next)
       50    0.022    0.000    0.022    0.000 /opt/homebrew/lib/python3.14/site-packages/mlx_lm/models/cache.py:1013(extract)
      300    0.003    0.000    0.009    0.000 /opt/homebrew/lib/python3.14/site-packages/mlx_lm/models/qwen3_5.py:132(__call__)
      400    0.002    0.000    0.007    0.000 /opt/homebrew/lib/python3.14/site-packages/mlx_lm/models/qwen3_next.py:327(__call__)
      300    0.002    0.000    0.002    0.000 /opt/homebrew/lib/python3.14/site-packages/mlx_lm/models/gated_delta.py:171(gated_delta_kernel)
     3910    0.002    0.000    0.002    0.000 /opt/homebrew/lib/python3.14/site-packages/mlx/nn/layers/quantized.py:242(__call__)
    10210    0.001    0.000    0.002    0.000 /opt/homebrew/lib/python3.14/site-packages/mlx/nn/layers/base.py:99(__getattr__)
    18210    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
     1200    0.001    0.000    0.001    0.000 /opt/homebrew/lib/python3.14/site-packages/mlx_lm/models/switch_layers.py:75(__call__)
       20    0.001    0.000    0.003    0.000 {method 'recv' of '_socket.socket' objects}
      400    0.001    0.000    0.003    0.000 /opt/homebrew/lib/python3.14/site-packages/mlx_lm/models/switch_layers.py:176(__call__)
      400    0.001    0.000    0.019    0.000 /opt/homebrew/lib/python3.14/site-packages/mlx_lm/models/qwen3_5.py:221(__call__)
        5    0.001    0.000    0.001    0.000 /Users/lisihao/ThunderOMLX/src/omlx/cache/paged_ssd_cache.py:1902(_load_one_block)
      300    0.001    0.000    0.003    0.000 /opt/homebrew/lib/python3.14/site-packages/mlx_lm/models/gated_delta.py:260(gated_delta_update)
